player,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Avg Raid Points_points,Avg Tackle Points_points,Super 10s_points,Super Raids_points,DOD Raid Points_points,High 5s_points,season,Played
Sunil Siddhgavali,,6.0,3.0,9.0,9.0,,,0.64,,,,,7,14.0
Suraj Desai,35.0,1.0,,1.0,45.0,44.0,4.0,0.08,1.0,1.0,3.0,,7,12.0
Surender Gill,41.0,7.0,1.0,8.0,62.0,54.0,3.6,0.53,,1.0,24.0,,7,15.0
Surender Singh,5.0,44.0,2.0,46.0,50.0,10.0,2.5,2.3,,1.0,5.0,2.0,7,20.0
Surjeet Singh,1.0,46.0,5.0,51.0,53.0,2.0,0.25,2.68,,,,5.0,7,19.0
Sushant Sail,8.0,,,,12.0,12.0,1.33,,,,1.0,,7,9.0
Sushil Gulia,12.0,1.0,,1.0,20.0,19.0,2.71,,,2.0,8.0,,7,7.0
Victor Obiero,4.0,1.0,1.0,2.0,8.0,6.0,2.0,,,,,,7,3.0
Vijay,31.0,11.0,,11.0,51.0,40.0,2.22,0.58,1.0,2.0,2.0,,7,19.0
Vijay Kumar,,4.0,1.0,5.0,5.0,,,0.56,,,,,7,9.0
Vikas Chhillar,1.0,,,,1.0,1.0,,,,,,,7,1.0
Vikas Kale,,36.0,2.0,38.0,38.0,,,2.0,,,,2.0,7,19.0
Vikash Jaglan,7.0,17.0,,17.0,29.0,12.0,0.71,0.85,,,6.0,,7,20.0
Vikash Khandola,123.0,4.0,,4.0,163.0,159.0,9.24,0.24,9.0,6.0,38.0,,7,17.0
Vinay,69.0,4.0,,4.0,101.0,97.0,4.85,0.2,2.0,6.0,14.0,,7,20.0
Vineet Sharma,3.0,6.0,1.0,7.0,16.0,9.0,1.13,0.64,,,2.0,,7,11.0
Vinod Kumar,6.0,4.0,,4.0,10.0,6.0,0.75,0.44,,,,,7,9.0
Viraj Vishnu Landge,,7.0,,7.0,7.0,,,0.88,,,,,7,8.0
Vishal,,34.0,7.0,41.0,41.0,,,2.93,,,,1.0,7,14.0
Vishal Bharadwaj,,52.0,9.0,61.0,61.0,,0.0,3.39,,,,5.0,7,18.0
Vishal Mane,,24.0,,24.0,24.0,,,1.2,,,,,7,20.0
Yashwant Bishnoi,2.0,,,,2.0,2.0,0.67,,,,,,7,3.0
Young Chang Ko,,5.0,2.0,7.0,7.0,,,0.64,,,,,7,11.0
